date,hour,timezone,isEvent,isHoliday
2024-12-27,09,PST,0,0
2024-12-27,10,PST,0,0
2024-12-27,11,PST,0,0
2024-12-27,12,PST,0,0
2024-12-27,13,PST,0,0
2024-12-27,14,PST,0,0
2024-12-27,15,PST,0,0
2024-12-27,16,PST,0,0
2024-12-27,17,PST,0,0
2024-12-27,18,PST,0,0
2024-12-27,19,PST,0,0
2024-12-27,20,PST,0,0
2024-12-27,21,PST,0,0
2024-12-27,22,PST,0,0
2024-12-27,23,PST,0,0
2024-12-28,00,PST,0,0
2024-12-28,01,PST,0,0
2024-12-28,02,PST,0,0
2024-12-28,03,PST,0,0
2024-12-28,04,PST,0,0
2024-12-28,05,PST,0,0
2024-12-28,06,PST,0,0
2024-12-28,07,PST,0,0
2024-12-28,08,PST,0,0
2024-12-28,09,PST,0,0
2024-12-28,10,PST,0,0
2024-12-28,11,PST,0,0
2024-12-28,12,PST,0,0
2024-12-28,13,PST,0,0
2024-12-28,14,PST,0,0
2024-12-28,15,PST,0,0
2024-12-28,16,PST,0,0
2024-12-28,17,PST,0,0
2024-12-28,18,PST,0,0
2024-12-28,19,PST,0,0
2024-12-28,20,PST,0,0
2024-12-28,21,PST,0,0
2024-12-28,22,PST,0,0
2024-12-28,23,PST,0,0
2024-12-29,00,PST,0,0
2024-12-29,01,PST,0,0
2024-12-29,02,PST,0,0
2024-12-29,03,PST,0,0
2024-12-29,04,PST,0,0
2024-12-29,05,PST,0,0
2024-12-29,06,PST,0,0
2024-12-29,07,PST,0,0
2024-12-29,08,PST,0,0
2024-12-29,09,PST,0,0
2024-12-29,10,PST,0,0
2024-12-29,11,PST,0,0
2024-12-29,12,PST,0,0
2024-12-29,13,PST,0,0
2024-12-29,14,PST,0,0
2024-12-29,15,PST,0,0
2024-12-29,16,PST,0,0
2024-12-29,17,PST,0,0
2024-12-29,18,PST,0,0
2024-12-29,19,PST,0,0
2024-12-29,20,PST,0,0
2024-12-29,21,PST,0,0
2024-12-29,22,PST,0,0
2024-12-29,23,PST,0,0
2024-12-30,00,PST,0,0
2024-12-30,01,PST,0,0
2024-12-30,02,PST,0,0
2024-12-30,03,PST,0,0
2024-12-30,04,PST,0,0
2024-12-30,05,PST,0,0
2024-12-30,06,PST,0,0
2024-12-30,07,PST,0,0
2024-12-30,08,PST,0,0
2024-12-30,09,PST,0,0
2024-12-30,10,PST,0,0
2024-12-30,11,PST,0,0
2024-12-30,12,PST,0,0
2024-12-30,13,PST,0,0
2024-12-30,14,PST,0,0
2024-12-30,15,PST,0,0
2024-12-30,16,PST,0,0
2024-12-30,17,PST,0,0
2024-12-30,18,PST,0,0
2024-12-30,19,PST,0,0
2024-12-30,20,PST,0,0
2024-12-30,21,PST,0,0
2024-12-30,22,PST,0,0
2024-12-30,23,PST,0,0
2024-12-31,00,PST,0,0
