year,date,hour,rain_1h,feels_like,clouds_all,Clear,Clouds,Fog,Rain,Snow
2025,2025-01-02,20,0.38,276.73,100,0,0,0,1,0
2025,2025-01-02,21,0.0,276.76,100,0,0,0,1,0
2025,2025-01-03,11,0.28,275.53,100,0,0,0,1,0
2025,2025-01-03,12,0.58,275.46,100,0,0,0,1,0
2025,2025-01-03,13,1.27,276.49,100,0,0,0,1,0
2025,2025-01-03,14,0.73,277.23,100,0,0,0,1,0
2025,2025-01-03,15,1.16,276.21,100,0,0,0,1,0
2025,2025-01-03,16,1.16,278.18,100,0,0,0,1,0
2025,2025-01-03,17,0.34,276.45,100,0,0,0,1,0
2025,2025-01-03,18,0.72,275.92,100,0,0,0,1,0
2025,2025-01-03,19,0.37,275.81,100,0,0,0,1,0
2025,2025-01-03,20,0.0,276.2,100,0,1,0,0,0
2025,2025-01-03,21,0.0,277.08,100,0,1,0,0,0
2025,2025-01-04,11,0.25,277.53,100,0,0,0,1,0
2025,2025-01-04,12,0.51,277.29,100,0,0,0,1,0
2025,2025-01-04,13,0.95,277.48,100,0,0,0,1,0
2025,2025-01-04,14,0.63,277.25,100,0,0,0,1,0
2025,2025-01-04,15,0.35,277.44,100,0,0,0,1,0
2025,2025-01-04,16,0.56,277.42,100,0,0,0,1,0
2025,2025-01-04,17,0.92,277.37,100,0,0,0,1,0
2025,2025-01-04,18,1.1,277.18,100,0,0,0,1,0
2025,2025-01-04,19,8.47,276.72,100,0,0,0,1,0
2025,2025-01-04,20,2.11,276.75,100,0,0,0,1,0
2025,2025-01-04,21,0.89,277.24,100,0,0,0,1,0
2025,2025-01-05,11,0.0,280.22,100,0,1,0,0,0
2025,2025-01-05,12,0.0,280.33,75,0,1,0,0,0
2025,2025-01-05,13,0.0,279.84,100,0,1,0,0,0
2025,2025-01-05,14,0.0,279.37,75,0,1,0,0,0
2025,2025-01-05,15,0.0,279.44,75,0,1,0,0,0
2025,2025-01-05,16,0.0,279.73,87,0,1,0,0,0
2025,2025-01-05,17,0.0,279.67,91,0,1,0,0,0
2025,2025-01-05,18,0.0,279.22,92,0,1,0,0,0
2025,2025-01-05,19,0.0,277.16,73,0,1,0,0,0
2025,2025-01-05,20,0.0,277.86,60,0,1,0,0,0
2025,2025-01-05,21,0.0,276.5,24,0,1,0,0,0
2025,2025-01-06,11,0.0,277.73,2,1,0,0,0,0
2025,2025-01-06,12,0.0,277.16,0,1,0,0,0,0
2025,2025-01-06,13,0.0,276.76,40,0,1,0,0,0
2025,2025-01-06,14,0.0,277.99,20,0,1,0,0,0
2025,2025-01-06,15,0.0,278.78,75,0,1,0,0,0
2025,2025-01-06,16,0.0,276.7,75,0,1,0,0,0
2025,2025-01-06,17,0.0,276.14,75,0,1,0,0,0
2025,2025-01-06,18,0.0,276.32,75,0,1,0,0,0
2025,2025-01-06,19,0.0,275.78,100,0,1,0,0,0
2025,2025-01-06,20,0.0,277.51,100,0,1,0,0,0
2025,2025-01-06,21,0.0,277.09,100,0,0,1,0,0
2025,2025-01-07,11,0.0,275.55,75,0,0,1,0,0
2025,2025-01-07,12,0.0,275.95,98,0,1,0,0,0
2025,2025-01-07,13,0.0,275.6,100,0,1,0,0,0
2025,2025-01-07,14,0.0,275.66,100,0,1,0,0,0
2025,2025-01-07,15,0.0,277.29,75,0,1,0,0,0
2025,2025-01-07,16,0.0,278.61,75,0,1,0,0,0
2025,2025-01-07,17,0.23,276.48,75,0,0,0,1,0
2025,2025-01-07,18,0.0,277.01,100,0,1,0,0,0
2025,2025-01-07,19,0.0,278.92,100,0,1,0,0,0
2025,2025-01-07,20,0.0,277.12,100,0,0,0,1,0
2025,2025-01-07,21,0.38,276.85,100,0,0,0,1,0
2025,2025-01-08,11,0.0,280.82,100,0,1,0,0,0
2025,2025-01-08,12,0.0,279.17,100,0,1,0,0,0
2025,2025-01-08,13,0.0,280.09,100,0,1,0,0,0
2025,2025-01-08,14,0.0,279.54,100,0,1,0,0,0
2025,2025-01-08,15,0.0,279.27,75,0,1,0,0,0
2025,2025-01-08,16,0.0,277.49,93,0,1,0,0,0
2025,2025-01-08,17,0.0,279.03,71,0,1,0,0,0
2025,2025-01-08,18,0.0,277.6,22,0,1,0,0,0
2025,2025-01-08,19,0.0,275.86,0,1,0,0,0,0
2025,2025-01-08,20,0.0,277.57,21,0,1,0,0,0
2025,2025-01-08,21,0.0,276.31,32,0,1,0,0,0
2025,2025-01-09,11,0.0,278.26,40,0,1,0,0,0
2025,2025-01-09,12,0.0,280.11,75,0,1,0,0,0
