year,date,hour,rainfall,tempreture,Clear,Clouds,Fog,Rain
2024,2024-12-25,21,0.41,274.13,0,0,0,1
2024,2024-12-26,11,0.51,274.93,0,0,0,1
2024,2024-12-26,12,0.25,275.77,0,0,0,1
2024,2024-12-26,13,0.31,277.89,0,0,0,1
2024,2024-12-26,14,0.32,277.88,0,0,0,1
2024,2024-12-26,15,0.0,278.06,0,1,0,0
2024,2024-12-26,16,0.0,278.1,0,1,0,0
2024,2024-12-26,17,0.0,276.66,0,1,0,0
2024,2024-12-26,18,0.0,276.02,0,1,0,0
2024,2024-12-26,19,0.0,276.6,0,1,0,0
2024,2024-12-26,20,0.38,276.61,0,0,0,1
2024,2024-12-26,21,0.25,276.58,0,0,0,1
2024,2024-12-27,11,0.0,279.4,0,1,0,0
2024,2024-12-27,12,0.0,280.26,0,1,0,0
2024,2024-12-27,13,0.0,279.5,0,1,0,0
2024,2024-12-27,14,0.0,278.16,0,1,0,0
2024,2024-12-27,15,0.0,278.11,0,1,0,0
2024,2024-12-27,16,0.51,276.51,0,0,1,1
2024,2024-12-27,17,0.56,275.73,0,0,1,1
2024,2024-12-27,18,0.97,275.73,0,0,1,1
2024,2024-12-27,19,0.76,276.02,0,0,1,1
2024,2024-12-27,20,0.87,275.82,0,0,0,1
2024,2024-12-27,21,0.96,275.21,0,0,0,1
2024,2024-12-28,11,0.25,277.69,0,0,0,1
2024,2024-12-28,12,0.25,278.74,0,0,0,1
2024,2024-12-28,13,1.2,279.36,0,0,0,1
2024,2024-12-28,14,0.25,280.2,0,0,0,1
2024,2024-12-28,15,0.25,282.98,0,0,0,1
2024,2024-12-28,16,0.25,281.13,0,0,0,1
2024,2024-12-28,17,0.25,279.87,0,0,0,1
2024,2024-12-28,18,0.25,278.78,0,0,0,1
2024,2024-12-28,19,0.25,277.88,0,0,0,1
2024,2024-12-28,20,0.49,279.42,0,0,0,1
2024,2024-12-28,21,0.43,278.94,0,0,0,1
2024,2024-12-29,11,0.4,277.87,0,0,0,1
2024,2024-12-29,12,1.82,277.93,0,0,0,1
2024,2024-12-29,13,2.96,278.16,0,0,0,1
