date,hour,bill,pax,amount,amt_percentage
2025/02/25,12,7,0,77.57,6.62
2025/02/25,13,5,0,223.73,19.08
2025/02/25,14,5,0,104.16,8.88
2025/02/25,15,9,0,122.93,10.48
2025/02/25,16,3,0,30.87,2.63
2025/02/25,17,11,0,152.48,13.0
2025/02/25,18,10,0,91.43,7.8
2025/02/25,19,11,0,132.63,11.31
2025/02/25,20,8,0,90.63,7.73
2025/02/25,21,0,0,0.0,0.0
2025/02/25,22,0,0,0.0,0.0
2025/02/25,23,0,0,0.0,0.0
2025/02/26,00,0,0,0.0,0.0
2025/02/26,01,0,0,0.0,0.0
2025/02/26,02,0,0,0.0,0.0
2025/02/26,03,0,0,0.0,0.0
2025/02/26,04,0,0,0.0,0.0
2025/02/26,05,0,0,0.0,0.0
2025/02/26,06,0,0,0.0,0.0
2025/02/26,07,0,0,0.0,0.0
2025/02/26,08,0,0,0.0,0.0
2025/02/26,09,0,0,0.0,0.0
2025/02/26,10,0,0,0.0,0.0
2025/02/26,11,5,0,67.09,7.44
2025/02/26,12,5,0,39.1,4.33
2025/02/26,13,6,0,64.73,7.18
2025/02/26,14,3,0,36.09,4.0
2025/02/26,15,5,0,68.53,7.6
2025/02/26,16,9,0,116.51,12.92
2025/02/26,17,9,0,142.06,15.75
2025/02/26,18,13,0,160.16,17.75
2025/02/26,19,15,0,161.67,17.92
2025/02/26,20,4,0,46.16,5.12
2025/02/26,21,0,0,0.0,0.0
2025/02/26,22,0,0,0.0,0.0
2025/02/26,23,0,0,0.0,0.0
2025/02/27,00,0,0,0.0,0.0
2025/02/27,01,0,0,0.0,0.0
2025/02/27,02,0,0,0.0,0.0
2025/02/27,03,0,0,0.0,0.0
2025/02/27,04,0,0,0.0,0.0
2025/02/27,05,0,0,0.0,0.0
2025/02/27,06,0,0,0.0,0.0
2025/02/27,07,0,0,0.0,0.0
2025/02/27,08,0,0,0.0,0.0
2025/02/27,09,0,0,0.0,0.0
2025/02/27,10,0,0,0.0,0.0
2025/02/27,11,2,0,34.13,3.83
2025/02/27,12,5,0,76.3,8.57
2025/02/27,13,8,0,86.18,9.68
2025/02/27,14,10,0,120.2,13.5
2025/02/27,15,12,0,131.33,14.76
2025/02/27,16,12,0,117.44,13.19
2025/02/27,17,10,0,118.46,13.31
2025/02/27,18,4,0,43.57,4.9
2025/02/27,19,8,0,98.04,11.02
2025/02/27,20,6,0,64.4,7.24
2025/02/27,21,0,0,0.0,0.0
2025/02/27,22,0,0,0.0,0.0
2025/02/27,23,0,0,0.0,0.0
2025/02/28,00,0,0,0.0,0.0
2025/02/28,01,0,0,0.0,0.0
2025/02/28,02,0,0,0.0,0.0
2025/02/28,03,0,0,0.0,0.0
2025/02/28,04,0,0,0.0,0.0
2025/02/28,05,0,0,0.0,0.0
2025/02/28,06,0,0,0.0,0.0
2025/02/28,07,0,0,0.0,0.0
2025/02/28,08,0,0,0.0,0.0
2025/02/28,09,0,0,0.0,0.0
2025/02/28,10,0,0,0.0,0.0
2025/02/28,11,7,0,77.51,5.36
2025/02/28,12,10,0,116.47,8.05
2025/02/28,13,5,0,60.78,4.2
2025/02/28,14,12,0,128.45,8.88
2025/02/28,15,5,0,46.41,3.21
2025/02/28,16,14,0,192.74,13.33
2025/02/28,17,18,0,233.04,16.11
2025/02/28,18,19,0,209.57,14.49
2025/02/28,19,13,0,134.12,9.27
2025/02/28,20,15,0,158.62,10.97
2025/02/28,21,9,0,88.66,6.13
2025/02/28,22,0,0,0.0,0.0
2025/02/28,23,0,0,0.0,0.0
