year,date,hour,rain_1h,feels_like,clouds_all,Clear,Clouds,Fog,Rain
2025,2025-03-06,16,0.0,283.44,5,1,0,0,0
2025,2025-03-06,17,0.0,282.98,5,1,0,0,0
2025,2025-03-06,18,0.0,280.75,13,0,1,0,0
2025,2025-03-06,19,0.0,277.54,20,0,1,0,0
2025,2025-03-06,20,0.0,278.75,13,0,1,0,0
2025,2025-03-06,21,0.0,277.42,0,1,0,0,0
2025,2025-03-07,11,0.0,277.93,100,0,1,0,0
2025,2025-03-07,12,0.0,278.33,100,0,1,0,0
2025,2025-03-07,13,0.0,278.28,75,0,1,0,0
2025,2025-03-07,14,0.0,280.26,75,0,1,0,0
2025,2025-03-07,15,0.0,279.83,75,0,1,0,0
2025,2025-03-07,16,0.0,280.59,100,0,1,0,0
2025,2025-03-07,17,0.0,279.06,75,0,1,0,0
2025,2025-03-07,18,0.0,279.72,100,0,1,0,0
2025,2025-03-07,19,0.0,279.41,100,0,1,0,0
2025,2025-03-07,20,0.0,278.72,100,0,1,0,0
2025,2025-03-07,21,0.0,278.3,100,0,1,0,0
2025,2025-03-08,11,1.39,275.14,100,0,0,1,1
2025,2025-03-08,12,1.6,275.54,100,0,0,1,1
2025,2025-03-08,13,1.89,275.39,100,0,0,0,1
2025,2025-03-08,14,1.13,275.97,100,0,0,0,1
2025,2025-03-08,15,2.84,275.63,100,0,0,1,1
2025,2025-03-08,16,2.45,276.53,100,0,0,1,1
2025,2025-03-08,17,2.43,276.67,100,0,0,0,1
2025,2025-03-08,18,1.48,276.6,100,0,0,0,1
2025,2025-03-08,19,1.42,277.58,100,0,0,0,1
2025,2025-03-08,20,0.66,277.68,100,0,0,0,1
2025,2025-03-08,21,0.25,278.65,100,0,0,0,1
2025,2025-03-09,11,1.52,277.59,100,0,0,0,1
2025,2025-03-09,12,1.73,278.94,100,0,0,0,1
2025,2025-03-09,13,2.08,280.37,100,0,0,0,1
2025,2025-03-09,14,1.32,279.45,100,0,0,0,1
2025,2025-03-09,15,0.25,278.48,100,0,0,0,1
2025,2025-03-09,16,0.71,278.2,100,0,0,0,1
2025,2025-03-09,17,0.25,277.89,100,0,0,0,1
2025,2025-03-09,18,1.12,275.8,100,0,0,0,1
2025,2025-03-09,19,0.25,276.22,75,0,0,0,1
2025,2025-03-09,20,0.0,276.18,20,0,1,0,0
2025,2025-03-09,21,0.0,274.69,0,1,0,0,0
2025,2025-03-10,11,0.0,276.67,75,0,1,0,0
2025,2025-03-10,12,0.38,276.96,75,0,0,0,1
2025,2025-03-10,13,0.76,278.87,75,0,0,0,1
2025,2025-03-10,14,0.25,279.65,100,0,0,0,1
2025,2025-03-10,15,0.0,280.22,100,0,1,0,0
2025,2025-03-10,16,0.0,279.28,100,0,0,0,1
2025,2025-03-10,17,0.25,276.54,100,0,0,0,1
2025,2025-03-10,18,0.25,277.48,75,0,0,0,1
2025,2025-03-10,19,1.18,273.3,100,0,0,0,1
2025,2025-03-10,20,0.86,273.66,100,0,0,0,1
2025,2025-03-10,21,0.0,273.7,100,0,0,0,1
2025,2025-03-11,11,0.3,274.55,100,0,0,1,1
2025,2025-03-11,12,0.0,275.33,100,0,0,0,1
2025,2025-03-11,13,0.0,274.97,100,0,0,0,1
2025,2025-03-11,14,0.0,275.05,100,0,0,0,1
2025,2025-03-11,15,0.25,276.0,100,0,0,0,1
2025,2025-03-11,16,0.51,275.7,100,0,0,0,1
2025,2025-03-11,17,0.25,275.82,100,0,0,0,1
2025,2025-03-11,18,0.25,275.02,100,0,0,0,1
2025,2025-03-11,19,0.34,275.48,100,0,0,0,1
2025,2025-03-11,20,0.64,274.9,100,0,0,0,1
2025,2025-03-11,21,0.38,274.78,100,0,0,0,1
2025,2025-03-12,11,0.0,276.79,100,0,0,0,1
2025,2025-03-12,12,0.0,277.22,100,0,0,0,1
2025,2025-03-12,13,0.51,278.33,100,0,0,0,1
2025,2025-03-12,14,2.07,278.25,100,0,0,1,1
2025,2025-03-12,15,2.28,278.73,100,0,0,1,1
2025,2025-03-12,16,1.37,277.57,100,0,0,0,1
2025,2025-03-12,17,0.4,277.39,100,0,0,0,1
2025,2025-03-12,18,0.51,276.63,100,0,0,0,1
2025,2025-03-12,19,0.0,276.77,100,0,1,0,0
2025,2025-03-12,20,0.25,276.73,100,0,0,0,1
2025,2025-03-12,21,0.25,277.35,100,0,0,0,1
2025,2025-03-13,11,0.0,277.4,100,0,1,0,0
2025,2025-03-13,12,0.0,279.05,100,0,1,0,0
2025,2025-03-13,13,0.0,280.87,100,0,0,0,1
2025,2025-03-13,14,0.0,280.32,100,0,0,0,1
2025,2025-03-13,15,0.25,278.27,100,0,0,0,1
2025,2025-03-13,16,0.25,277.97,100,0,0,0,1
2025,2025-03-13,17,1.14,277.32,100,0,0,0,1
2025,2025-03-13,18,0.85,277.87,100,0,0,0,1
2025,2025-03-13,19,0.0,276.32,48,0,1,0,0
2025,2025-03-13,20,0.0,275.21,48,0,1,0,0
2025,2025-03-13,21,0.0,277.07,48,0,1,0,0
2025,2025-03-14,11,0.0,278.08,75,0,1,0,0
2025,2025-03-14,12,0.0,279.96,75,0,1,0,0
2025,2025-03-14,13,0.0,280.27,75,0,1,0,0
2025,2025-03-14,14,0.0,281.94,75,0,1,0,0
2025,2025-03-14,15,0.0,282.2,75,0,1,0,0
2025,2025-03-14,16,0.0,282.73,75,0,1,0,0
2025,2025-03-14,17,0.0,282.49,75,0,1,0,0
2025,2025-03-14,18,0.0,282.14,75,0,1,0,0
2025,2025-03-14,19,0.0,281.32,100,0,1,0,0
2025,2025-03-14,20,0.0,278.45,75,0,1,0,0
